,Sentences,Labels
6570,nu gælder det handling  og vi skal i fællesskab finde en plan for finansieringen af tingene,1
1064,så storslået og varieret vor jord end kan synes  er den dog sårbar,0
3207,vi er jo blot glade turister  der søger en varmere sol og et hav  der er mere blåt end ved vore kyster,0
425,tonen kan nogle gange være skarp,0
6192,vi har lagt til side i de fede år,1
4716,de tendenser  der er ude i verden   hvor det store fællesskab slår revner,1
5236,for det andet  det kræver  at folketingets partier bøjer sig mod hinanden  for at mildne krisens virkninger på landet,1
1675,både for færøerne og for grønland er det nye år 1000 året for kristendommens komme,0
1691,selv om min moder kom fra et andet land  blev hun fortrolig med hele danmark og kom til at holde af hver plet i landet  men en egn fik hun et særligt forhold til  sønderjylland,0
4579,vi har et stærkt folkestyre med solide frihedsrettigheder,1
6017,langt de fleste familier i danmark har mærket  at det går godt med økonomien,1
728,en af sommerens store og gode oplevelser for prinsen og mig var vores besøg i grænselandet,0
4205,de skarpe missioner er vigtige,1
1144,mange har lagt hele deres livsgerning i det fremmede og har fået hjemme der  men i julen og ved nytårstid vil tankerne ofte gå hjem  selv om båndene næsten er bristede,0
5108,da et bredt flertal i folketinget satte det mål  at drivhusgasserne skal reduceres med 70 procent i 2030  havde vi 10 år til at nå målet,1
2474,pandemien har vendt op og ned på hele samfundet  den har ændret vores dagligdag  vi har måttet gøre meget helt anderledes  undgå kontakt  holde afstand  blive hjemme  arbejde på andre måder  end vi er vant til,0
3240,tiderne er vanskelige  og alvoren må præge os mere ved dette årsskifte end mange gange tidligere,0
385,det var et afhængighedsforhold  der var tydeligt for enhver,0
4133,jeg tror  det er et godt år for folketinget  som starter sin samling den 12  januar,1
382,den selvtilstrækkelighed kommer vi bare ikke til livs blot ved  at vi sætter millioner af til u landshjælp  ved at vi organiserer store indsamlingskampagner og helhjertet slutter op om dem med penge og sang og med underskrifter på indignationens lister,0
2287,alle disse mennesker er i mine tanker på denne aften,0
878,det gælder ikke alene socialt udsatte  det gælder ældre mennesker  som ser deres ægtefælle og deres jævnaldrende falde fra   hvor blev de af  alle de  der fyldte hverdagen,0
4193,ja  der har man et regering og et styre  der er baseret på religiøs fanatisme,1
690,det er ikke nok bare at  sige fra   vi skal også hjælpe til,0
2434,fremover vil prinsgemalen derfor kun i meget begrænset omfang tage del i de officielle arrangementer  som igennem så mange år har været en naturlig del af hans liv,0
587,min nytårshilsen går til alle inden for forsvaret  beredskabet  politiet og sundhedsvæsenet med tak for  at de holder hovedet koldt og hjertet varmt både i hverdagen og i krisesituationer,0
5168,vi har noget særligt imellem os  fordi uligheden er mindre,1
938,i det forløbne år har prins henrik og jeg haft lejlighed ril at besøge sverige  norge  island og finland,0
5028,gjorde vi det andet  så steg arbejdsløsheden,1
2632,dertil har coronaen været for sejlivet en modstander,0
5,vores samfund  som vi er stolte af netop i år blev de olympiske lege afholdt i rio de janeiro i brasilien,0
5693,man kan undre sig over  at de andre lande gennem de sidste halve års forhandlinger har været så lydhøre over for de danske synspunkter,1
3474,regner vi ikke netop med  at 1983 bliver et svært år for os alle sammen,1
2949,til dem går mine varmeste nytårshilsener,0
3817,og den høje skat er der meget for,1
4090,i et eu med 25 lande er der brug for en ny eu traktat  som både sikrer effektivitet og respekt for den nationale identitet,1
5826,vi skal alle sammen passe på danmark,1
3821,vi vil fortælle om tiden under pandemien fra generation til generation,1
6145,men et flertal stemte nej,1
1580,gid enhver i grønland må føle  at de har del i det nye  som nu skal sættes i værk  og at de er med i dette betydningsfulde arbejde,0
5238,der stiftes ikke længere gæld,1
1291,flere er kommet alvorligt til skade  og nogle har mistet livet,0
5833,et fællesskab  hvor der er plads til personlig udfoldelse,1
2568,nogle har boet her altid  andre er kommet til,0
5980,vi kan godt gøre en forskel,1
5432,men det skal altså til  og det skal  min sandten  lykkes,1
1148,til alle  der gør en indsats i stort som i småt for  at volden ikke skal gribe om sig  bringer jeg min tak og mine gode nytårsønsker,0
1092,færøerne har haft endnu et svært år,0
2419,men jeg vil i aften rette en særlig tak til prinsgemalen,0
4559,vi drenge stod inde i en opgang  og luret til vognen var lige tilstrækkeligt meget forbi  og så sprang vi ud,1
5569,på vores samfundsmodel,1
4876,kan jeg betale regningen til sygehuset,1
5608,men vi kan beslutte os for en ny strategi der skaber øget beskæftigelse,1
5756,men vejen  vi skal gå  er smallere end den har været før,1
3998,klart kun står en gylden strime  slukkes den på ny,1
4510,når det gælder samfundets fællesanlægner  så må og skal regering og folketing have det sidste og afgørende ord,1
5437,det er god skik en 1  januar at gøre status over det gamle år og sætte os nye mål for det år  vi nu har taget hul på,1
2792,men optimismen og troen på en morgendag  der bliver bedre  fordi vi selv er med til at gøre noget ved det  der skal vi lægge i vore nytårsønsker til hinanden  når vi siger godt nytår,0
3029,de samme ønsker sender jeg også til færøerne,0
2063,man overkommer ikke længere det samme  som man kunne engang,0
3988,jeg tror desværre  at vi   måske af angst for ikke at være tolerante nok   har lukket øjnene for en udvikling  som gik den gale vej,1
5769,det skal vi fortsætte med  så vi selv kan finansiere uden at låne de kommende års nye  moderniserede arbejdspladser,1
698,det er alvorligt  ikke bare for det enkelte unge menneske  men for hele samfundet,0
6466,men så har jeg vist lov at svare  at det er jo befolkningen  som har givet os et så partiopsplittet folketing,1
163,det kan både det danske og det tyske mindretal være stolte af,0
3837,jeg taler ikke om  at vi skal skrue udviklingen tilbage  fortidens livsformer hører fortiden til,1
4683,men det er et paradoks  at for sovjetborgerne tegner fremtiden sig langt mere usikker,1
864,det gælder i dag  som i går og til alle tider,0
3434,vi står midt i det  der måske er den største og mest komplicerede krise  vi endnu har set i dette århundrede,1
5480,det første er ikke finere end det andet,1
177,lad os ønske hinanden godt nytår i håbet om  at det nye år vil bringe fortrøstning og livsmod til alle,0
6010,men det er op til hver enkelt at fylde rammen ud,1
3743,der blev indført su til de studerende,1
1524,de nye muligheder kan være gode og sjove redskaber  men i lutter begejstring over tidens tekniske fremskridt kan det ende med  at ingen får tid til at samle sig om noget  til at være sammen med nogen  til at være noget for andre,0
4462,vi har opdaget  hvor meget børn kan savne deres skole,1
5669,jeg blev royalist takket være dronningen,1
5123,for første gang nogensinde,1
201,måske nærede de større tiltro ikke blot til deres egen  men også til hinandens gode dømmekraft,0
4525,og tror man på kaos og verdens brand  skal man nok komme ud over afgrundens rand  hvis bare man skubber hinanden,1
1723,selv nok så mange e mails og sms beskeder  og hvad det nu alt sammen hedder  kan ikke erstatte den personlige kontakt  det menneskelige nærvær,0
4500,vores mål er  at mere end halvdelen af danskerne skal arbejde,1
6546,det er en stor og krævende opgave for de tusinder af medarbejdere  som i disse dage skifter arbejdsplads,1
4121,det er kvalitet  da vi i fællesskab sørger for  at vores børn kan få god pasning,1
4249,1997 var et godt år for os i danmark,1
6535,men vi forsøger at løse den i fællesskab,1
4327,vi kan ikke bare sidde med hænderne i skødet  trække gardinerne for og tro  at det onde forsvinder,1
3794,vi hjælper hinanden,1
6351,en solidaritet  hvor den  der modtager understøttelse  til gengæld er parat til at tage et job  når det bliver tilbudt,1
5164,derfor bør flere udsatte børn også bortadopteres,1
3675,priserne steg kun med 4  i år  og til næste år bliver det formentlig kun 2 5,1
6152,noget herhjemme,1
5057,her ved indgangen til det nye år går det godt i danmark,1
307,vi ved også  hvor svært det kan være for nationerne at samarbejde om de nødvendige løsninger,0
2874,selv i et ellers trygt samfund som det danske kan en ulykke brat slå ned og ændre alt,0
306,mennesker i alle aldre  med vidt forskellig baggrund,0
4532,jeg tror  vi trænger til at gøre op med modeordet om  at alting altid bare er de andres skyld eller samfundets skyld,1
4350,opgiver vi den  vil livet i samfundet blive fattigere og koldere,1
2336,man skal kende forskel på dit og mit  på rigtigt og forkert,0
5541,det må give resultater  og vi vil nøje følge udviklingen,1
5461,men det er først og fremmest mit eget,1
4817,og det vil vi bevare  beskytte og videreudvikle,1
5485,og med disse ord som baggrund vil jeg ønske dem alle et godt og velsignet nyt år,1
498,vil dem og til alle andre  der står i vort samfunds tjeneste  vil jeg bringe min tak og mit ønske om et godt nytår,0
6324,de 96 procent af os danske har aldrig oplevet højere materiel velstand,1
2146,jeg ønsker et godt nytår til de mange  der arbejder for os alle i aften,0
715,vi følger hvordan vore børn udvikler sig  og hvordan de tager fat på tilværelsens udfordringer på hver deres måde,0
940,men det kræver en indsats at se de muligheder og udnytte dem,0
5563,og samtidig skabe nye grønne arbejdspladser,1
3104,trods de ugerninger og tragedier  vi har kunnet læse om eller selv kan have været vidne til  så blev det dog et mærkeår  et ungt år,0
3479,at løfte mennesker til viden  frihed og muligheder,1
1658,de talte ikke timerne eller dagene,0
2074,diplomater og andre embedsmænd har arbejdet nøgternt og engageret på at lægge alt til rette,0
5285,her 40 år efter kan vi svare ja på begge spørgsmål,1
5613,netop nu  hvor ungdomsarbejdsløsheden er alt for stor  og hvor tilgangen til arbejdsmarkedet nærmest er voldsom  der må vi sørge for  at de  der ønsker at fortsætte en uddannelse  også får økonomiske muligheder for det,1
825,det samme gjorde de danske tilskuere  unge som gamle,0
102,men inderst inde er vi vel alligevel lidt imponerede over deres opfindsomhed og skabertrang og det gå på mod  de lægger for dagen  når de står over for tidens udfordringer,0
2392,mennesker  der bliver genstand for oprigtige beundring  er næsten altid dem  der gør mere end det blot nødvendige  vi kalder dem ofte  enere  som en særlig hædersbevisning  men egentlig er det vor egen fallit erklæring  vi dermed udtrykker  for vi har hver og en noget  vi skal gøre  og jeg gad vide  om vi ikke altid kunne gøre mere,0
501,det gælder de danske i sydslesvig såvel som de  der er bosat fjernt eller nær eller fejrer nytår på søen,0
6184,men den enkle løsning findes desværre ikke,1
562,alle er de med til at gøre begrebet dansk bredere og danmark rummeligere,0
2634,lige let er det ikke at slå sig ned i et nyt land  og ved årets højtider vil man ofte føle sig særligt langt fra alt  hvad der er kendt og fortroligt,0
1650,året igennem kommer prinsen og jeg og vore to drenge og hele vor familie i kontakt med uendeligt mange mennesker og møder overalt en sådan varme og hjertelighed  at ord slet ikke kan udtrykke den taknemmelighed vi føler,0
1737,langt mod nord og ude i det store hav ligger dele af det danske rige,0
786,men det er vigtigt  at vi både lytter til hinanden og kan tale klart om vore synspunkter  samtidig med at vi siger til  når vi er enige  og når vi er uenige,0
2528,på denne nytårsaften vil jeg gerne takke dem alle for deres uselviske indsats og ønske dem og andre danske udsendte  hvor i verden de end er  et godt nytår,0
640,deres indsats har vi alle grund til at påskønne  og jeg vil gerne på denne årets sidste aften sige dem tak for hvad de yder og ønske godt nytår,0
740,i aften vil jeg sige en stor tak til alle  der gjorde besøget på færøerne til en enestående oplevelse for kronprinsparret og deres børn,0
4775,efter syv års ubrudt fremgang er vi et af verdens rigeste lande med en bomstærk økonomi,1
3369,og selvom der skulle blive åbnet for hanerne  ved vi  at de gyldne dage med billig energi aldrig mere kommer tilbage,1
140,jeg sender mine nytårsønsker til alle på færøerne med et varmt  tak for i sommer,0
5174,men når vi nu taler om den  den trivielle økonomi  brugte vi da så det gamle år klogt i danmark,1
1479,vi er meget optaget af at opnå det perfekte  det gnidningsfri og behagelige liv,0
5178,men de er der jo,1
2620,hvor blev de tolv måneder dog af,0
1685,de fleste af os husker nok en lærer  som var særligt god til at få det bedste frem i hver enkelt af os i klassen,0
5234,lad os være enige om  at nu vil vi holde godt sammen på danmark,1
2177,oktober   november   december  og i morgen skriver vi januar på ny,0
2635,jeg véd at de mennesker  han der lærte at kende  har gjort et uforglemmeligt indtryk på ham,0
4372,efter snart to år med corona er vores sygehuse under pres,1
529,vi skal gøre vort bedste i alle livets forhold  også når andre behøver hjælp,0
2457,arbejdstid  fritid  ja sågar kvalitetstid prøver vi at sætte i system for at nå alt det  vi skal  og alt det  vi burde gøre   og så noget af det  vi allerhelst vil have tid til,0
5957,længe leve forskningen og samarbejdet mellem det offentlige og det private,1
4947,vores danske kultur og vores særpræg er der ingen  der vil eller kan trumle ned,1
6430,et socialt sikkerhedsnet,1
1257,men nej  vi kan ikke skrue tiden tilbage,0
1571,for den anden parts meninger kunne jo have forskubbet sig  bare lidt  og det kunne jo være  at man selv tog fejl,0
5294,vi er ikke bundet af snævre interesser eller hensyn til bestemte grupper,1
841,den krise  som præger verdenssamfundet i disse år  og som også mærkes her hos os  bør kalde på al vor opfindsomhed og virketrang til gavn for hver enkelt og for hele vort samfund  for vort lands fremtid,0
379,det giver fremgang,0
5271,noget af det stærkeste ved danmark er  at vi stiller krav til hinanden,1
4464,lad os i fællesskab sætte nye pejlemærker  nye mål og visioner for en moderne  dynamisk og kvalitetsrig offentlig sektor,1
4401,uden familieskab  med eller uden papir  hvor nærhed fører til fællesskab og forpligtelser over for hinanden  kan intet samfund vokse sig sundt og menneskeligt rigt,1
2538,den unge møder hver dag med nysgerrighed og lægger utålmodigt år til år  den fyrreårige forstår pludselig  at mere end halvdelen af livet sandsynligvis er gået,0
5914,ja  det kan endda ske for en 50 årig,1
5245,det bedste er at få et arbejde,1
2905,hvis rødderne er syge  kan træet ikke stå  og det vil tage mange år for et nyt træ at vokse sig stærkt,0
6450,og boligpriserne tog på himmelflugt,1
927,lad os bære erfaringerne   gode som mindre gode   med os ind i det nye år og tage fat på året med håb   og fortrøstning,0
2393,men vi er også knyttet sammen gennem en lang historie og vi skal værne om alt det  vi har til fælles og som samler os,0
1327,derfor er det alvorligt  hvis nogle  som er en vigtig del af vort samfund  tager for let på deres ansvar og svigter deres forpligtelser,0
2778,dér  på det nye sted  måske i en helt anden verdensdel  vil den tilrejsende møde et nyt land og et andet samfund  betinget af netop det lands beliggenhed og historie  dets kultur og dets skikke,0
5893,det er min ambition  at forældre kan sende deres børn i skole med udsigt til  at de er lige så videbegærlige og ligeså nysgerrige på sidste skoledag  som de var på den første,1
2785,det må andre tage sig af,0
2584,hvem er jeg da,0
1229,mine tanker går også til de svageste i samfundet og til dem  hvem store sorger har hjemsøgt,0
2239,de giver nyt håb til mennesker  der uforskyldt har mistet alt i blodige konflikter   deres kære  deres hjem og deres livsgrundlag på landjorden i irak træner danske soldater de irakiske styrker og i afghanistan træner de fortsat landets egne soldater,0
1686,vi må lytte  også når vi er helt uenige i de synspunkter  der bliver fremsat,0
3113,ingen bør forvente  at den  der kommer til et nyt sted  et fremmed land  straks skal kaste alt sit arvede gods over bord  som om det var overflødigt,0
3407,vi fik større frihed til selv at vælge  end nogen generation før os,1
5154,jeg husker det jo fra min egen opvækst  hvor hurtigt man kom på kant med samfundet  hvis der ikke blev taget hånd om en,1
3850,de ældre kan jo ikke så let ændre på deres tilværelse,1
1061,de nyder stor anerkendelse overalt  og vi herhjemme kan godt være stolte af dem,0
4312,der blev flyttet rundt på investeringer  som om det var matadorpenge,1
4319,jamen  burde vi så ikke sætte samarbejdstempoet ned  løber vi ikke fra landene i syd og nord,1
4731,i hjælper med at gøre tilværelsen bedre for mennesker rundt om i verden,1
6522,nu tager vi fat på det 21  århundrede,1
2012,til sommer vil turen atter gå nordpå sammen med kronprinsparret  og denne gang til færøerne,0
2551,det var den glædelige gave  som 1990 skænkede os,0
1916,denne nytårsaften vil jeg gerne rette en hilsen til alle de mange  som gennem den seneste menneskealder har slået sig ned i danmark,0
6114,og ikke blot vælte opgaven over på andre,1
6212,for at lette vilkårene ude på vores 10 000 er af arbejdspladser i industrien  i landbruget  i håndværket  i handelen og i skibsfarten  vi skal gøre igangsætning  udvidet produktion og beskæftigelse nemmere,1
3115,ethvert år får i tilbageblikket sit eget præg  lidt forskelligt for enhver af os,0
943,hvad 1984 vil blive  kan vi ikke vide  hvad det gemmer til os af glæder eller sorger er skjult,0
4825,at afværge de værste følger af krisen  som skylder indoverlandet,1
3525,og hvad kan vi selv bidrage med,1
6283,det skal der være,1
1793,det er krævende opgaver  de er sat på  og de løser dem ansvarsbevidst og omsorgsfuldt med al den fantasi  som er nødvendig under primitive og usikre forhold,0
3961,men vi så også her både begyndende social udvikling og samtidig primitive og fattige landsby samfund,1
2442,vi skal gøre os umage,0
3245,det er alvorlige tider i disse år,0
2868,det har både prinsgemalen og jeg klart kunnet mærke  da vi tidligere på året var på besøg rundt omkring i landet,0
5391,alle skal med,1
5105,til samfundet,1
6340,vi halder også klart ind på ungdomsarbejdsløsheden,1
1628,i mange familier er højtiderne et puslespil  der skal gå op,0
1135,man bliver helt forpustet bare ved at tænke på det,0
4866,den måde  vi håndterer krisen på  vil få afgørende betydning for danmarks fremtid,1
2940,teknologi såvel som videnskab gør nok store fremskridt  men viser også risikoen for misbrug  for uoverskuelige konsekvenser af vor formåen  for katastrofale følger af vore gode hensigter,0
3278,i denne tid påvirker begivenheder i udlandet os meget direkte,0
3629,vi må altså ikke kaste et mistænkeligt skær over hjælpen til de arbejdsløse,1
4985,det gør os ikke af ti,1
1221,den globale økonomiske krise er tydelig for alle  ikke mindst her i europa  hvor man står over for meget alvorlige problemer  som påvirker alle dele af samfundet,0
3910,vi skal have højnet det faglige niveau,1
2046,til enhver  der sidder med store bekymringer  eller som har mistet en  de holder af  går mine tanker  og jeg håber  at alle  der véd om nogen  der sidder alene med deres ængstelse og savn  vil være parat med trøst og hjælp  måske blot et håndtryk eller et smil på en kold dag,0
4648,det er en tung bagage på spinkle skuldre,1
3987,og eu regulerer,1
3912,det er ikke alle parforhold  der holder,1
990,i dag tør de unge vise  at de også kan være usikre,0
5828,vi ser det flere og flere steder,1
2884,det gør de mennesker  der står os nær,0
3015,det samfund  som vi har i danmark  er ikke kommet af sig selv,0
3277,viden og kunnen har vi brug for og sund fornuft  når vi skal skelne mellem godt og ondt  mellem ret og uret  men når det kommer til stykket  er hjertevarme og hjertelighed det  vi aldrig må glemme,0
6366,sætter verdslige love over religiøse,1
1214,det gør det ikke lettere  at selv eksperter har svært ved at overskue problemerne  endsige nå til enighed om dem,0
4470,på den måde får vi en ny og holdbar vækst  og vi skaber den rette grobund for nye job,1
1831,prinsgemalen og jeg havde i efteråret den store oplevelse at besøge tanzania,0
5111,selvom vi er et lille land  så kan vi gøre en forskel,1
4447,for det første faldt man forfristelsen til kraftig lønglidning i sidste halvdel af 86  det blev så fuldt op af de store lønstigninger med de nye overenskomster i foråret,1
3885,af de dybe sår  som krigen gav europa,1
5711,og finder vores vej,1
4484,og vi har levet på at stifte gæld,1
5562,nu ligger igen et helt år med ubeskrevne blade i kalenderen foran os,1
5193,uddannelse til alle unge,1
4994,men jeg tror  at mange er usikre på  om der er et velfærdssamfund  når vi selv bliver gamle,1
105,vi bliver fattigere  hvis vi glemmer det,0
2261,men det var en glæde at se  hvor ansvarsbevidst og fortrøstningsfuldt der tages fat overalt,0
1787,de fremskridt  vi har oplevet i den sidste menneskealder  er uden sidestykke i vores historie,0
2828,derfor har danmark også engageret sig så aktivt på mange fronter og mange steder i verden,0
3606,danmark deltog i krigen mod saddam,1
3652,med sundhedsreformen kommer der flere læger i de dele af danmark  hvor der er mest brug for dem,1
1427,også vi må arbejde med det og vedligeholde det dag for dag  hvis det skal bære,0
5096,alt for meget tid går med proces  bureaukrati  kontrol og skemaer,1
1930,det gælder også i det år  som nu melder sig med nye udfordringer og nye muligheder,0
3502,vi skal stille krav til hinanden,1
5956,netop fordi fremtiden uundgåeligt vil bringe os så meget nyt og ukendt  er det uvurderligt  at vi fordyber os i vores egen danske kultur,1
2766,skal man virkelig med grund sige om os  at vi har skabt en tid  der er kold  og som kun regner med stræberen og den blanke succes,0
5083,hun fortalte  at hun havde været på læsekursus   eller læse camp  som hun sagde,1
2671,det er vigtigt  at nationerne hver især bekæmper deres egoisme for i fællesskab at kunne løse de vældige problemer  der melder sig  når verdens begrænsede goder skal finde en mere retfærdig fordeling,0
6360,for hovedopgaven er jo at skaffe arbejde,1
2603,vi er mange  som ikke har mulighed for selv at huske den tid  men vi kender til den fra vore forældre og bedsteforældre,0
2178,økonomisk er landet godt kørende  men vi skal også give os tid til at overveje  hvad den medgang gør for os og gør ved os,0
4223,at vi har et arbejde,1
613,derfor er det også godt at mærke  at vi ikke har ladet os gribe af panik eller ladet os lamme  men roligt forsøger at leve videre og passer vor daglige dont,0
6277,men mange gange,1
2278,vi er forventningsfulde  men også bekymrede  for vi lever i en verden  hvor alt hvad der sker også kan mærkes her i danmark og har konsekvenser for vort land og for os hver især,0
1847,det skal man have lov til,0
2539,lad os dog ikke miste modet  lad os fortsat være opmærksomme og forsigtige  når vi omgås hinanden,0
5061,ikke bare for danmark,1
4962,vi skal undgå fortidens fejl,1
5216,jeg er ikke i tvivl om  at vi hjælper flest og bedst ved at hjælpe ude i verden,1
1812,min hilsen gælder også de mange  som er rejst ud for at slå sig ned i det fremmede for kortere eller længere tid  og de danske syd for grænsen  som så trofast holder ved deres danske arv  samtidig med  at de er respekterede borgere i det land  hvor de bor,0
1054,måske tænker vi i det daglige ikke så meget på grundloven,0
2762,men det er også en begivenhed  som vi kan huske på med stolthed og hvis minde er værd at holde i hævd,0
6172,danmark blev genforenet,1
4560,det kan blive afgørende for  om jeres arbejdsplads kan fortsætte,1
6455,og vi har en ansvarlig fagbevægelse og ansvarlige arbejdsgivere  som også ser på hele samfundets forhold  når de indgår aftaler på arbejdsmarkedet,1
2717,selvom vi alle hver især nok kan finde meget at glædes over i det forløbne år  har det ikke desto mindre været et år præget af den økonomiske krise  der har ramt verdenssamfundet og dermed også det danske samfund,0
434,vi glæder os  og vi bekymrer os  og vi vil så gerne  at det skal gå dem godt,0
1586,enhver vil sikkert kunne forstå  at denne nytårsaften er noget særligt for mig  og når jeg sender mine ønsker og hilsener  må jeg også tilføje  godt nytår  joachim,0
2167,men det afgørende er  at vi bruger friheden og er parate til at dele den med hinanden,0
1049,det bliver et mærkeår  for den 5  juni kan vi fejre  at vi har haft en grundlov i 150 år,0
1169,også herfra har jeg og min familie varme og gode minder,0
2999,de 39 år  som fulgte efter  har alle været gode år  dyrtid og bekymringer ufortalt  for vi er herrer i vort eget hus,0
2876,det gælder ikke mindst dem  som hjælper med at opspore og begrænse smitte  og dem  som behandler de syge  og som igen må løbe ekstra stærkt for at overkomme det hele,0
2373,det er  som om nærværet går tabt i vores fortravlede tid,0
2529,vi lader os ikke løbe over ende  vi vil være tro mod os selv  som vi altid har været det her i danmark,0
1735,dybfrosne systemer  stivnede grænser tøede op og smuldrede  næsten glemte folkeslag og nationer  som i årevis havde levet i undertrykkelse  genopstod og fejrede deres genvundne frihed,0
4272,vi bliver ikke mindre af at samarbejde med andre  vi bliver større,1
29,ikke uden ængstelse har jeg tænkt   hvad skal jeg sige i min nytårstale,0
2031,for os her i danmark er det måske ikke så overraskende  at planeten er blå  for vi har jo havet foran os og den blå himmel over os,0
3721,hvis det er nødvendigt  vil vi fremrykke en række af disse investeringer,1
